"OID","SUBBASIN","ARSUB","LANDUSE","ARLU","SOIL","ARSO","SLP","ARSLP","SLOPE","UNIQUECOMB","HRU_ID","HRU_GIS"
1,1.00,79434.00,"URMD",3706.31,"AGVKTU",101.25,"0-4.29",91.12,1.96,"1_URMD_AGVKTU_0-4.29",1,"000010001"
2,1.00,79434.00,"URMD",3706.31,"AGVKTU",101.25,"4.29-11.8",10.12,5.72,"1_URMD_AGVKTU_4.29-11.8",2,"000010002"
3,1.00,79434.00,"URMD",3706.31,"BESVL",35.43,"11.8-9999",3.93,12.73,"1_URMD_BESVL_11.8-9999",3,"000010003"
4,1.00,79434.00,"URMD",3706.31,"BESVL",35.43,"0-4.29",15.18,2.12,"1_URMD_BESVL_0-4.29",4,"000010004"
5,1.00,79434.00,"URMD",3706.31,"BESVL",35.43,"4.29-11.8",16.31,8.32,"1_URMD_BESVL_4.29-11.8",5,"000010005"
6,1.00,79434.00,"URMD",3706.31,"BETL",735.75,"11.8-9999",0.56,12.59,"1_URMD_BETL_11.8-9999",6,"000010006"
7,1.00,79434.00,"URMD",3706.31,"BETL",735.75,"0-4.29",583.31,2.10,"1_URMD_BETL_0-4.29",7,"000010007"
8,1.00,79434.00,"URMD",3706.31,"BETL",735.75,"4.29-11.8",151.87,6.05,"1_URMD_BETL_4.29-11.8",8,"000010008"
9,1.00,79434.00,"URMD",3706.31,"BPLVUG",43.87,"0-4.29",36.00,1.77,"1_URMD_BPLVUG_0-4.29",9,"000010009"
10,1.00,79434.00,"URMD",3706.31,"BPLVUG",43.87,"4.29-11.8",7.87,5.91,"1_URMD_BPLVUG_4.29-11.8",10,"000010010"
11,1.00,79434.00,"URMD",3706.31,"FEAL",814.50,"0-4.29",484.31,2.58,"1_URMD_FEAL_0-4.29",11,"000010011"
12,1.00,79434.00,"URMD",3706.31,"FEAL",814.50,"4.29-11.8",322.31,6.24,"1_URMD_FEAL_4.29-11.8",12,"000010012"
13,1.00,79434.00,"URMD",3706.31,"FEAL",814.50,"11.8-9999",7.87,15.21,"1_URMD_FEAL_11.8-9999",13,"000010013"
14,1.00,79434.00,"URMD",3706.31,"LSYKIP",158.62,"0-4.29",100.12,2.26,"1_URMD_LSYKIP_0-4.29",14,"000010014"
15,1.00,79434.00,"URMD",3706.31,"LSYKIP",158.62,"4.29-11.8",51.18,6.50,"1_URMD_LSYKIP_4.29-11.8",15,"000010015"
16,1.00,79434.00,"URMD",3706.31,"LSYKIP",158.62,"11.8-9999",7.31,16.44,"1_URMD_LSYKIP_11.8-9999",16,"000010016"
17,1.00,79434.00,"URMD",3706.31,"NM",29.81,"0-4.29",28.68,1.83,"1_URMD_NM_0-4.29",17,"000010017"
18,1.00,79434.00,"URMD",3706.31,"NM",29.81,"4.29-11.8",1.12,4.93,"1_URMD_NM_4.29-11.8",18,"000010018"
19,1.00,79434.00,"URMD",3706.31,"PBEPGL",2.81,"0-4.29",2.81,1.57,"1_URMD_PBEPGL_0-4.29",19,"000010019"
20,1.00,79434.00,"URMD",3706.31,"TL",1328.62,"4.29-11.8",150.75,5.47,"1_URMD_TL_4.29-11.8",20,"000010020"
21,1.00,79434.00,"URMD",3706.31,"TL",1328.62,"0-4.29",1177.87,2.06,"1_URMD_TL_0-4.29",21,"000010021"
22,1.00,79434.00,"URMD",3706.31,"TLLAEA",193.50,"0-4.29",166.50,1.92,"1_URMD_TLLAEA_0-4.29",22,"000010022"
23,1.00,79434.00,"URMD",3706.31,"TLLAEA",193.50,"4.29-11.8",27.00,5.53,"1_URMD_TLLAEA_4.29-11.8",23,"000010023"
24,1.00,79434.00,"URMD",3706.31,"TPBEL",262.12,"0-4.29",172.68,2.24,"1_URMD_TPBEL_0-4.29",24,"000010024"
25,1.00,79434.00,"URMD",3706.31,"TPBEL",262.12,"4.29-11.8",89.43,6.49,"1_URMD_TPBEL_4.29-11.8",25,"000010025"
26,1.00,79434.00,"BARR",1315.12,"FEAL",901.68,"11.8-9999",235.68,18.63,"1_BARR_FEAL_11.8-9999",26,"000010026"
27,1.00,79434.00,"BARR",1315.12,"FEAL",901.68,"0-4.29",335.25,2.19,"1_BARR_FEAL_0-4.29",27,"000010027"
28,1.00,79434.00,"BARR",1315.12,"FEAL",901.68,"4.29-11.8",330.75,7.69,"1_BARR_FEAL_4.29-11.8",28,"000010028"
29,1.00,79434.00,"BARR",1315.12,"LSYKIP",329.06,"4.29-11.8",125.43,7.62,"1_BARR_LSYKIP_4.29-11.8",29,"000010029"
30,1.00,79434.00,"BARR",1315.12,"LSYKIP",329.06,"11.8-9999",48.37,14.71,"1_BARR_LSYKIP_11.8-9999",30,"000010030"
31,1.00,79434.00,"BARR",1315.12,"LSYKIP",329.06,"0-4.29",155.25,1.96,"1_BARR_LSYKIP_0-4.29",31,"000010031"
32,1.00,79434.00,"BARR",1315.12,"TL",44.43,"4.29-11.8",26.43,6.79,"1_BARR_TL_4.29-11.8",32,"000010032"
33,1.00,79434.00,"BARR",1315.12,"TL",44.43,"0-4.29",16.87,2.25,"1_BARR_TL_0-4.29",33,"000010033"
34,1.00,79434.00,"BARR",1315.12,"TL",44.43,"11.8-9999",1.12,12.17,"1_BARR_TL_11.8-9999",34,"000010034"
35,1.00,79434.00,"BARR",1315.12,"TPBEL",39.93,"4.29-11.8",3.37,6.46,"1_BARR_TPBEL_4.29-11.8",35,"000010035"
36,1.00,79434.00,"BARR",1315.12,"TPBEL",39.93,"0-4.29",36.56,1.94,"1_BARR_TPBEL_0-4.29",36,"000010036"
37,1.00,79434.00,"PAST",3787.31,"AGVKTU",741.37,"4.29-11.8",5.06,4.51,"1_PAST_AGVKTU_4.29-11.8",37,"000010037"
38,1.00,79434.00,"PAST",3787.31,"AGVKTU",741.37,"0-4.29",736.31,0.81,"1_PAST_AGVKTU_0-4.29",38,"000010038"
39,1.00,79434.00,"PAST",3787.31,"BESVL",47.25,"4.29-11.8",30.93,7.40,"1_PAST_BESVL_4.29-11.8",39,"000010039"
40,1.00,79434.00,"PAST",3787.31,"BESVL",47.25,"0-4.29",12.37,3.29,"1_PAST_BESVL_0-4.29",40,"000010040"
41,1.00,79434.00,"PAST",3787.31,"BESVL",47.25,"11.8-9999",3.93,15.92,"1_PAST_BESVL_11.8-9999",41,"000010041"
42,1.00,79434.00,"PAST",3787.31,"BETL",275.62,"11.8-9999",0.56,12.96,"1_PAST_BETL_11.8-9999",42,"000010042"
43,1.00,79434.00,"PAST",3787.31,"BETL",275.62,"4.29-11.8",81.00,6.89,"1_PAST_BETL_4.29-11.8",43,"000010043"
44,1.00,79434.00,"PAST",3787.31,"BETL",275.62,"0-4.29",194.06,1.52,"1_PAST_BETL_0-4.29",44,"000010044"
45,1.00,79434.00,"PAST",3787.31,"FEAL",133.87,"11.8-9999",54.00,16.46,"1_PAST_FEAL_11.8-9999",45,"000010045"
46,1.00,79434.00,"PAST",3787.31,"FEAL",133.87,"0-4.29",10.12,2.34,"1_PAST_FEAL_0-4.29",46,"000010046"
47,1.00,79434.00,"PAST",3787.31,"FEAL",133.87,"4.29-11.8",69.75,7.44,"1_PAST_FEAL_4.29-11.8",47,"000010047"
48,1.00,79434.00,"PAST",3787.31,"LSYKIP",30.37,"11.8-9999",0.56,14.01,"1_PAST_LSYKIP_11.8-9999",48,"000010048"
49,1.00,79434.00,"PAST",3787.31,"LSYKIP",30.37,"4.29-11.8",12.37,6.76,"1_PAST_LSYKIP_4.29-11.8",49,"000010049"
50,1.00,79434.00,"PAST",3787.31,"LSYKIP",30.37,"0-4.29",17.43,1.89,"1_PAST_LSYKIP_0-4.29",50,"000010050"
51,1.00,79434.00,"PAST",3787.31,"NM",2066.06,"0-4.29",2066.06,0.72,"1_PAST_NM_0-4.29",51,"000010051"
52,1.00,79434.00,"PAST",3787.31,"TL",343.12,"4.29-11.8",0.56,5.00,"1_PAST_TL_4.29-11.8",52,"000010052"
53,1.00,79434.00,"PAST",3787.31,"TL",343.12,"0-4.29",342.56,1.00,"1_PAST_TL_0-4.29",53,"000010053"
54,1.00,79434.00,"PAST",3787.31,"TPBEL",149.62,"0-4.29",149.06,1.30,"1_PAST_TPBEL_0-4.29",54,"000010054"
55,1.00,79434.00,"PAST",3787.31,"TPBEL",149.62,"4.29-11.8",0.56,4.55,"1_PAST_TPBEL_4.29-11.8",55,"000010055"
56,1.00,79434.00,"FRSD",4827.37,"BESVL",435.37,"4.29-11.8",250.31,7.56,"1_FRSD_BESVL_4.29-11.8",56,"000010056"
